lat,lon,heat_flow_mw_m2,elevation,environment
4.608927,112.50969,56.45881059,-86.0,[offshore (continental)]
4.6092,113.6394,51.0,0.0,[offshore (continental)]
4.621556,114.01959,44.79366473,-5.0,[offshore (continental)]
4.623496,112.23911,64.2980596,-84.0,[offshore (continental)]
4.625,112.27,83.0,-77.6,[offshore (continental)]
4.637965,113.60157,45.92120715,-75.0,[offshore (continental)]
4.639326,112.30714,52.28885936,-85.0,[offshore (continental)]
4.648045,113.45599,37.5941306,-81.0,[offshore (continental)]
4.65,132.782,10.0,-2672.3,[offshore (continental)]
4.65949,112.70743,57.94676525,-88.0,[offshore (continental)]
4.661666667,123.8083333,62.3863,-4942.0,[offshore (continental)]
4.665454,112.33869,64.59048192,-87.0,[offshore (continental)]
4.672439,112.59289,76.3249222,-88.0,[offshore (continental)]
4.675787,113.9067,51.7937332,-54.0,[offshore (continental)]
4.676925,112.49276,72.85307458,-89.0,[offshore (continental)]
4.683508,113.92416,40.77823271,-34.0,[offshore (continental)]
4.687488,113.86169,40.87114385,-61.0,[offshore (continental)]
4.693522,112.68346,48.00855074,-90.0,[offshore (continental)]
4.697582,113.96453,48.05308785,-20.0,[offshore (continental)]
4.698118,112.50295,84.9730559,-90.0,[offshore (continental)]
4.6983,112.5,102.0,-81.0,[offshore (continental)]
4.6989,112.4994,102.0,0.0,[offshore (continental)]
4.699111,112.29286,49.2316379,-89.0,[offshore (continental)]
4.700871,113.93547,48.36915873,-49.0,[offshore (continental)]
4.703697,113.94665,37.68329705,-45.0,[offshore (continental)]
4.706302,113.95802,43.20439186,-45.0,[offshore (continental)]
4.708288,113.92588,40.54959905,-56.0,[offshore (continental)]
4.7083,113.923,64.0,-45.4,[offshore (continental)]
4.7089,113.9228,64.0,0.0,[offshore (continental)]
4.711507,113.1844,65.15589744,-92.0,[offshore (continental)]
4.715414,112.04907,74.0205033,-89.0,[offshore (continental)]
4.719895,113.9424,49.08191864,-53.0,[offshore (continental)]
4.722395,113.94268,43.23456979,-49.0,[offshore (continental)]
4.722734,113.10419,65.8181734,-91.0,[offshore (continental)]
4.728488,110.87377,89.38017774,-113.0,[offshore (continental)]
4.7288,111.31063,86.73206786,-96.0,[offshore (continental)]
4.729317,113.41532,38.88701285,-89.0,[offshore (continental)]
4.7317,128.5,32.4,-5513.8,[offshore (continental)]
4.733,128.5,32.0,-5879.0,[offshore (continental)]
4.733363,113.74853,44.71270313,-74.0,[offshore (continental)]
4.736105,112.8813,63.90585221,-94.0,[offshore (continental)]
4.737337,113.74459,42.21896392,-75.0,[offshore (continental)]
4.73752,113.5017,47.62584562,-91.0,[offshore (continental)]
4.738104,113.73109,47.35076906,-77.0,[offshore (continental)]
4.749573,113.74594,53.30095652,-88.0,[offshore (continental)]
4.753329,113.92067,46.23725228,-62.0,[offshore (continental)]
4.758947,113.74008,41.45367626,-86.0,[offshore (continental)]
4.761037,113.95735,40.04274575,-58.0,[offshore (continental)]
4.765168,113.48474,52.33631906,-84.0,[offshore (continental)]
4.769961,113.42806,49.69908897,-90.0,[offshore (continental)]
4.770559,113.75083,45.57181687,-85.0,[offshore (continental)]
4.773086,112.63963,50.80028783,-91.0,[offshore (continental)]
4.776834,113.44059,46.63827111,-88.0,[offshore (continental)]
4.779432,113.75287,48.04334385,-88.0,[offshore (continental)]
4.779839,113.51649,59.08716643,-94.0,[offshore (continental)]
4.779941,112.27369,70.99398768,-94.0,[offshore (continental)]
4.780806,113.50283,40.44157774,-88.0,[offshore (continental)]
4.781704,113.48085,46.61942188,-89.0,[offshore (continental)]
4.783163,113.74859,49.90326729,-78.0,[offshore (continental)]
4.795269,111.99694,62.52802544,-98.0,[offshore (continental)]
4.801824,113.97131,58.43479971,-61.0,[offshore (continental)]
4.806444,113.96611,49.49479104,-61.0,[offshore (continental)]
4.81395,113.97071,43.89961466,-62.0,[offshore (continental)]
4.829561,112.47321,52.7474398,-94.0,[offshore (continental)]
4.832365,113.50371,45.36956993,-96.0,[offshore (continental)]
4.845772,112.39508,54.80024553,-120.0,[offshore (continental)]
4.851117,113.31698,57.70307462,-102.0,[offshore (continental)]
4.85651,112.57195,61.26040778,-99.0,[offshore (continental)]
4.873469,112.3356,63.50214143,-95.0,[offshore (continental)]
4.887703,112.36515,55.02745477,-101.0,[offshore (continental)]
4.896652,112.29331,62.76785304,-103.0,[offshore (continental)]
4.915985,113.12658,52.97168711,-105.0,[offshore (continental)]
4.91953,111.99216,92.9331697,-98.0,[offshore (continental)]
4.946599,112.44563,63.05886265,-102.0,[offshore (continental)]
4.948067,112.53182,50.02917839,-106.0,[offshore (continental)]
4.963435,112.12305,52.30881874,-105.0,[offshore (continental)]
4.967736,113.75029,58.29581025,-120.0,[offshore (continental)]
4.969432,111.09599,63.63848858,-111.0,[offshore (continental)]
4.97494,111.94949,76.75072308,-116.0,[offshore (continental)]
4.982966,112.01422,83.27808576,-105.0,[offshore (continental)]
4.984241,110.49348,69.9085469,-126.0,[offshore (continental)]
5.002419,111.78399,72.99928631,-117.0,[offshore (continental)]
5.0117,123.0333,63.0,-4850.0,[offshore (continental)]
5.0317,113.582,51.9,-438.0,[offshore (continental)]
5.062318,112.40453,62.97986674,-105.0,[offshore (continental)]
5.075999,112.28642,65.55835936,-113.0,[offshore (continental)]
5.090988,112.82143,60.85503015,-103.0,[offshore (continental)]
5.154341,111.81901,98.5157888,-148.0,[offshore (continental)]
5.155896,115.34965,49.64925125,-5.0,[offshore (continental)]
5.174674,112.46956,52.52424302,-105.0,[offshore (continental)]
5.187453,110.54508,75.21798283,-158.0,[offshore (continental)]
5.210558,111.76931,100.2856176,-118.0,[offshore (continental)]
5.23492,111.81123,74.51286536,-124.0,[offshore (continental)]
5.255115,110.84921,85.16087332,-141.7,[offshore (continental)]
5.258452,114.9667,50.17267755,-47.0,[offshore (continental)]
5.278015,111.89057,63.94970382,-129.0,[offshore (continental)]
5.2833,122.3,75.0,-4512.0,[offshore (continental)]
5.301347,114.94829,51.75696898,-40.0,[offshore (continental)]
5.306454,115.01489,38.8861994,-5.0,[offshore (continental)]
5.308413,112.17257,69.2243145,-130.0,[offshore (continental)]
5.36434,110.29653,56.41109895,-159.0,[offshore (continental)]
5.3667,123.75,86.4,-4838.0,[offshore (continental)]
